"ID","UPRN","EASTING","NORTHING","LATITUDE","LONGITUDE"
4221,108082,357697,172709,51.4517721,-2.610176
4229,108087,363907,172709,51.4522033,-2.52081
4257,108145,362351,172705,51.4520659,-2.5432014
4698,108287,362493,172698,51.4520123,-2.5411571
4718,108315,357712,172696,51.4516563,-2.6099586
4747,108354,363107,172691,51.4519897,-2.5323203
4756,108363,363142,172690,51.451983,-2.5318165
4757,108370,363225,172689,51.4519794,-2.5306221
4774,108404,357576,172686,51.4515562,-2.6119146
4781,108410,363362,172686,51.4519614,-2.5286503
4704,108465,363706,172680,51.4519296,-2.5236995
4719,108489,362303,172676,51.4518019,-2.5438891
4733,108508,361954,172675,51.4517696,-2.5489115
4766,108560,357695,172671,51.4514302,-2.6102003
4793,108586,357749,172669,51.4514163,-2.6094229
4794,108589,363169,172669,51.451796,-2.5314258
4688,108611,357699,172667,51.4513946,-2.6101422
4689,108619,363067,172665,51.4517533,-2.5328932
4706,108645,357704,172663,51.451359,-2.6100698
4705,108645,357704,172663,51.451359,-2.6100698
4741,108696,363829,172658,51.4517397,-2.5219272
4742,108700,363098,172658,51.4516924,-2.5324464
4743,108701,357592,172657,51.4512966,-2.6116808
4775,108751,363836,172653,51.4516952,-2.521826
4758,108930,358997,172648,51.4513197,-2.5914614
4776,108957,357597,172648,51.4512161,-2.6116078
4782,108964,357224,172640,51.451116,-2.6169745
4783,108992,357288,172647,51.4511838,-2.6160543
4694,109086,363582,172645,51.451607,-2.5254802
4720,109129,357302,172641,51.4511309,-2.6158521
4728,109139,361917,172641,51.4514614,-2.5494403
4734,109142,363025,172641,51.4515348,-2.5334951
4735,109148,363489,172640,51.451556,-2.526818
4764,109186,357315,172636,51.4510869,-2.6156644
4777,109210,362054,172636,51.4514257,-2.5474682
4784,109217,362390,172634,51.4514301,-2.5426326
4695,109245,357324,172632,51.4510516,-2.6155345
4699,109253,361879,172631,51.4513689,-2.5499861
4721,109288,356719,172630,51.4509876,-2.6242404
4767,109380,363822,172625,51.4514426,-2.5220246
4778,109391,356970,172624,51.4509528,-2.6206277
4785,109394,357280,172623,51.4509674,-2.6161665
4786,109396,357030,172623,51.4509484,-2.6197641
4787,109397,361858,172623,51.4512956,-2.5502875
4795,109412,361854,172621,51.4512773,-2.5503448
4696,109431,357289,172620,51.4509411,-2.6160367
4707,109455,361846,172619,51.4512588,-2.5504597
4722,109470,363680,172617,51.4513615,-2.5240671
4729,109489,357366,172616,51.4509109,-2.6149281
4744,109509,363771,172614,51.4513404,-2.5227573
4748,109533,363487,172614,51.4513221,-2.5268441
4749,109539,361831,172613,51.4512039,-2.550675
4690,109589,357311,172611,51.4508618,-2.615719
4691,109591,363397,172611,51.4512893,-2.5281389
4700,109617,356849,172608,51.4507997,-2.622367
4723,109643,362531,172606,51.4511877,-2.5406005
4736,109664,361806,172604,51.4511213,-2.5510338
4737,109665,357213,172604,51.4507914,-2.6171284
4759,109695,357312,172601,51.450772,-2.6157034
4788,109744,361965,172596,51.45106,-2.5487447
4713,109817,361958,172590,51.4510056,-2.5488448
4730,109834,362660,172589,51.4510433,-2.5387423
4738,109836,363856,172562,51.4508783,-2.5215289
4750,109853,362021,172588,51.4509919,-2.547938
4765,109868,363399,172586,51.4510646,-2.5281075
4768,109882,356748,172585,51.4505852,-2.6238176
4789,109902,356786,172584,51.4505791,-2.6232706
4714,109949,361809,172583,51.4509326,-2.5509883
4751,109996,356952,172579,51.4505468,-2.6208812
4752,109997,356697,172579,51.4505273,-2.6245507
4760,110008,357589,172578,51.4505861,-2.6117145
4779,110036,357547,172575,51.4505559,-2.6123185
4790,110046,361813,172575,51.450861,-2.5509299
4791,110047,361938,172575,51.4508694,-2.549131
4796,110063,357089,172573,51.4505033,-2.618909
4692,110066,357300,172573,51.4505193,-2.6158727
4701,110091,362591,172571,51.4508769,-2.5397334
4708,110098,363772,172570,51.4509448,-2.5227384
4715,110102,362032,172570,51.4508308,-2.5477777
4724,110125,363665,172570,51.450938,-2.5242781
4745,110157,363573,172567,51.4509051,-2.5256017
4697,110242,362075,172559,51.4507347,-2.5471578
4709,110262,362423,172558,51.4507489,-2.5421497
4739,110296,362043,172553,51.4506786,-2.5476176
4746,110315,361910,172552,51.4506607,-2.5495315
4797,110380,361905,172548,51.4506244,-2.549603
4710,110411,361902,172545,51.4505972,-2.5496459
4731,110439,362498,172544,51.450628,-2.5410689
4753,110461,356827,172543,51.4502136,-2.6226756
4780,110518,363660,172537,51.4506409,-2.5243467
4761,110631,363707,172525,51.4505361,-2.5236691
4769,110646,363719,172523,51.4505189,-2.5234963
4770,110649,363725,172521,51.4505013,-2.5234097
4693,110701,363509,172513,51.4504154,-2.5265171
4702,110719,361855,172509,51.4502704,-2.5503184
4711,110731,363520,172507,51.4503622,-2.5263582
4716,110746,362522,172505,51.450279,-2.5407194
4725,110763,362005,172504,51.4502355,-2.5481592
4754,110818,361996,172499,51.45019,-2.5482882
4755,110819,362560,172498,51.4502185,-2.5401718
4762,110833,357028,172497,51.4498153,-2.6197775
4771,110855,357047,172494,51.4497898,-2.6195038
4798,110880,356938,172490,51.4497455,-2.6210718
4703,110905,361831,172488,51.4500799,-2.5506615
4712,110913,361873,172487,51.4500738,-2.550057
4717,110924,361828,172485,51.4500528,-2.5507044
4726,110925,363453,172485,51.45016,-2.52732
4727,110929,363569,172484,51.4501585,-2.5256507
4732,110939,362089,172484,51.4500613,-2.5469483
4740,110946,357235,172483,51.4497052,-2.6167971
4763,110969,363575,172481,51.450132,-2.525564
4772,111001,363747,172478,51.4501161,-2.5230887
4773,111005,363501.43,172477.84,51.4500988,-2.5266224
4792,111019,361884,172475,51.4499666,-2.5498974
4799,111026,363511,172475,51.4500739,-2.5264844
4409,111087,357371,172466,51.4495626,-2.614838
4459,111182,357146,172459,51.4494826,-2.6180749
4395,111201,361805,172450,51.4497365,-2.5510316
4396,111209,362428,172448,51.4497602,-2.5420661
4435,111303,362429,172436,51.4496524,-2.5420504
4436,111309,362324,172435,51.4496364,-2.5435613
4450,111321,361864,172434,51.4495966,-2.5501808
4451,111322,357078,172433,51.4492437,-2.6190502
4452,111324,356973,172433,51.4492357,-2.6205612
4460,111332,357013,172432,51.4492297,-2.6199854
4399,111372,362454,172424,51.4495462,-2.5416894
4403,111383,361934,172422,51.4494935,-2.5491722
4405,111401,357184,172417,51.4491079,-2.617523
5801,137589,357938,170611,51.4329273,-2.6064596
5802,137590,358293,170610,51.4329447,-2.6013528
5829,137611,358170,170609,51.4329266,-2.6031221
5830,137614,357992,170608,51.4329044,-2.6056824
5839,137619,356779,170608,51.4328125,-2.6231303
5840,137622,358138,170608,51.4329152,-2.6035823
5841,137623,361936,170608,51.4331834,-2.5489479
5729,137644,360058,170606,51.4330362,-2.575962
5739,137659,356679,170604,51.4327688,-2.6245681
5750,137662,361898,170604,51.4331449,-2.5494941
5751,137665,358251,170603,51.4328786,-2.6019562
5770,137703,360028,170599,51.4329711,-2.5763928
5780,137710,357970,170599,51.4328218,-2.6059978
5794,137731,359982,170597,51.4329499,-2.5770543
5803,137749,357964,170595,51.4327854,-2.6060837
5810,137754,358013,170595,51.4327891,-2.6053788
5818,137761,361124,170594,51.4330024,-2.5606265
5740,137826,361123,170589,51.4329574,-2.5606404
5752,137835,359736,170588,51.4328515,-2.5805921
5754,137846,356603,170588,51.432619,-2.6256592
5763,137848,361926,170588,51.4330029,-2.5490896
5795,137887,356414,170584,51.4325684,-2.6283771
5804,137893,356578,170584,51.4325811,-2.6260183
5805,137898,359760,170583,51.4328083,-2.5802463
5811,137902,362202,170583,51.4329765,-2.5451189
5819,137915,361923,170582,51.4329488,-2.5491321
