UPRN,count
588045,3
176855,3
140492,3
76369,2
25015,2
57725,2
503064,2
120608,2
61969,2
46917,2
229046,2
253838,2
95807,2
106197,2
106124,2
107471,2
108645,2
119203,2
84676,2
262978,2
51866,2
73160,2
104594,2
327808,2
133771,2
100121170825,2
55065,2
100121173306,2
77825,2
