"ID","UPRN","POSTCODE_FLAG","EASTING","NORTHING","RHIGHSCORE","RHIGHSCORE_ADJ","CHIGHSCORE","CHIGHSCORE_ADJ","SWHIGHSCORE","SWHIGHSCORE_ADJ","GWHIGHSCORE","COMBINEDSCORE","COMBINEDSCORE_ADJ","R_RCP26_2050_UD","R_RCP26_2050_D","S_RCP26_2050_UD","S_RCP26_2050_D","C_RCP26_2050_UD","C_RCP26_2050_D","COMB_RCP26_2050_UD","COMB_RCP26_2050_D","R_RCP45_2050_UD","R_RCP45_2050_D","S_RCP45_2050_UD","S_RCP45_2050_D","C_RCP45_2050_UD","C_RCP45_2050_D","COMB_RCP45_2050_UD","COMB_RCP45_2050_D","R_RCP85_2050_UD","R_RCP85_2050_D","S_RCP85_2050_UD","S_RCP85_2050_D","C_RCP85_2050_UD","C_RCP85_2050_D","COMB_RCP85_2050_UD","COMB_RCP85_2050_D","SOP_RIVER_VALUE","SOP_SURFACE_WATER_VALUE","CANAL_FAILURE_VALUE","DAM_BREAK_VALUE","UNFLOOD_VALUE","CE_2050","CE_2100","NPD_CLAY","NPD_PEAT","NPD_SAND","NPD_SILT","NPD_SOFT","NPD_CLAY_2000","NPD_CLAY_2035","NPD_CLAY_2045","NPD_CLAY_2065","BGS_GS_OPEN_SS","BGS_GC_OPEN_2030","BGS_GC_OPEN_2070","NCHD_POSTCODE","NCHD_RAG","EPC_SOURCE","EPC_ADDRESS_FLAG","EPC_COUNT","EPC_EXPIRY_FLAG","LMK_KEY","BUILDING_REFERENCE_NUMBER","CURRENT_ENERGY_RATING","POTENTIAL_ENERGY_RATING","CURRENT_ENERGY_EFFICIENCY","POTENTIAL_ENERGY_EFFICIENCY","PROPERTY_TYPE","BUILT_FORM","INSPECTION_DATE","LOCAL_AUTHORITY","CONSTITUENCY","COUNTY","LODGEMENT_DATE","TRANSACTION_TYPE","ENVIRONMENT_IMPACT_CURRENT","ENVIRONMENT_IMPACT_POTENTIAL","ENERGY_CONSUMPTION_CURRENT","ENERGY_CONSUMPTION_POTENTIAL","CO2_EMISSIONS_CURRENT","CO2_EMISS_CURR_PER_FLOOR_AREA","CO2_EMISSIONS_POTENTIAL","LIGHTING_COST_CURRENT","LIGHTING_COST_POTENTIAL","HEATING_COST_CURRENT","HEATING_COST_POTENTIAL","HOT_WATER_COST_CURRENT","HOT_WATER_COST_POTENTIAL","TOTAL_FLOOR_AREA","ENERGY_TARIFF","MAINS_GAS_FLAG","FLOOR_LEVEL","FLAT_TOP_STOREY","FLAT_STOREY_COUNT","MAIN_HEATING_CONTROLS","MULTI_GLAZE_PROPORTION","GLAZED_TYPE","GLAZED_AREA","EXTENSION_COUNT","NUMBER_HABITABLE_ROOMS","NUMBER_HEATED_ROOMS","LOW_ENERGY_LIGHTING","NUMBER_OPEN_FIREPLACES","HOTWATER_DESCRIPTION","HOT_WATER_ENERGY_EFF","HOT_WATER_ENV_EFF","FLOOR_DESCRIPTION","FLOOR_ENERGY_EFF","FLOOR_ENV_EFF","WINDOWS_DESCRIPTION","WINDOWS_ENERGY_EFF","WINDOWS_ENV_EFF","WALLS_DESCRIPTION","WALLS_ENERGY_EFF","WALLS_ENV_EFF","SECONDHEAT_DESCRIPTION","SHEATING_ENERGY_EFF","SHEATING_ENV_EFF","ROOF_DESCRIPTION","ROOF_ENERGY_EFF","ROOF_ENV_EFF","MAINHEAT_DESCRIPTION","MAINHEAT_ENERGY_EFF","MAINHEAT_ENV_EFF","MAINHEATCONT_DESCRIPTION","MAINHEATC_ENERGY_EFF","MAINHEATC_ENV_EFF","LIGHTING_DESCRIPTION","LIGHTING_ENERGY_EFF","LIGHTING_ENV_EFF","MAIN_FUEL","WIND_TURBINE_COUNT","HEAT_LOSS_CORRIDOOR","UNHEATED_CORRIDOR_LENGTH","FLOOR_HEIGHT","PHOTO_SUPPLY","SOLAR_WATER_HEATING_FLAG","MECHANICAL_VENTILATION","LOCAL_AUTHORITY_LABEL","CONSTITUENCY_LABEL","CONSTRUCTION_AGE_BAND","LODGEMENT_DATETIME","TENURE","FIXED_LIGHTING_OUTLETS_COUNT","LOW_ENERGY_FIXED_LIGHT_COUNT","TYPE_OF_ASSESSMENT","THREE_YR_ENERGY_COST_CURRENT","THREE_YR_ENERGY_SAVING_POTENTIAL","CURRENT_ENVIRONMENTAL_RATING","POTENTIAL_ENVIRONMENTAL_RATING","IMPROVEMENTS","AIR_TIGHTNESS_DESCRIPTION","AIR_TIGHTNESS_ENERGY_EFF","AIR_TIGHTNESS_ENV_EFF","ALTERNATIVE_IMPROVEMENTS","LZC_ENERGY_SOURCES","SPACE_HEATING_DEMAND","WATER_HEATING_DEMAND","IMPACT_LOFT_INSULATION","IMPACT_CAVITY_WALL_INSULATION","IMPACT_SOLID_WALL_INSULATION","ADDENDUM_TEXT","DATA_ZONE","MAIN_HEATING_CATEGORY"
"tbc",148,0,358946,179716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,8,9,9,9,"2n","Improbable","Improbable",0,3,"E",,3,0,"ff1bfd5a8364c04dedd1e5d618ad04a3a79338143611f33c19d0479b3702a881",10000296355,"E","B",50,82,"House","Detached","2021-01-18","E06000023","E14000600","","2021-01-18","marketed sale",42,78,347,110,5.7,61,1.8,137,73,934,513,127,69,93,"off-peak 10 hour","Y","","",,"",92,"double glazing, unknown install date","Normal",0,5,5,13,0,"From main system","Good","Good","Solid, no insulation (assumed)","N/A","N/A","Mostly double glazing","Average","Average","Cavity wall, as built, no insulation (assumed)","Poor","Poor","Room heaters, mains gas","N/A","N/A","Pitched, 75 mm loft insulation","Average","Average","Boiler and radiators, mains gas","Good","Good","Programmer, TRVs and bypass","Average","Average","Low energy lighting in 13% of fixed outlets","Poor","Poor","mains gas (not community)",0,"",,2.4,"0","N","natural","Bristol, City of","Bristol North West","England and Wales: 1967-1975","2021-01-18","Owner-occupied",8,1,"",,,"","","","","","","","",,,,,,"","",""
"tbc",180,0,356788,179691,18,5,0,0,0,0,0,18,5,18,18,0,0,0,0,18,18,18,18,0,0,0,0,18,18,18,18,0,0,0,0,18,18,100,0,0,0,0,0,0,5,0,0,0,0,7,8,8,8,"2n","Improbable","Improbable",0,3,"N",,,,"",,"","",,,"","","","","","","","",,,,,,,,,,,,,,,"","","","",,"",,"","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"",,,"","","","","","","","",,,"",,,"","","","","","","","",,,,,,"","",""
"tbc",233,0,358974,179667,0,0,0,0,5,5,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,0,0,1,0,0,7,0,0,0,0,8,9,9,9,"2n","Improbable","Improbable",0,3,"E",,1,1,"863421369042012120516054605320658",6060563078,"D","B",59,83,"House","Detached","2012-12-05","E06000023","E14000600","","2012-12-05","marketed sale",57,84,239,81,3.8,46,1.3,74,47,648,457,118,60,84,"Single","Y","NODATA!","",,"2107",100,"double glazing installed before 2002","Normal",0,5,5,43,0,"From main system","Average","Average","Solid, no insulation (assumed)","N/A","N/A","Fully double glazed","Average","Average","Cavity wall, filled cavity","Good","Good","Room heaters, electric","N/A","N/A","Pitched, 300+ mm loft insulation","Very Good","Very Good","Boiler and radiators, mains gas","Good","Average","Programmer, TRVs and bypass","Average","Average","Low energy lighting in 43% of fixed outlets","Average","Average","mains gas (not community)",0,"NO DATA!",,,"0","","natural","Bristol, City of","Bristol North West","England and Wales: 1976-1982","2012-12-05 16:05:46","unknown",14,6,"",,,"","","","","","","","",,,,,,"","",""
"tbc",48071708,0,526435,168175,20,20,0,0,3,3,0,23,23,22,22,4,4,0,0,26,26,22,22,4,4,0,0,26,26,22,22,5,5,0,0,27,27,30,20,0,0,1,0,0,6,0,0,0,1,6,6,6,6,"3s","Possible","Probable",0,3,"E",,2,0,"663445061852016012713013391260088",819119868,"C","C",79,80,"Flat","Semi-Detached","2016-01-27","E09000024","E14000823","Greater London Authority","2016-01-27","marketed sale",69,71,229,216,1.9,39,1.8,63,42,141,152,153,135,50,"Unknown","N","1st","N",,"2401",100,"double glazing installed before 2002","Normal",0,3,3,50,0,"Electric immersion, off-peak","Average","Poor","(another dwelling below)","NO DATA!","N/A","Fully double glazed","Average","Average","Timber frame, as built, insulated (assumed)","Good","Good","Room heaters, electric","N/A","N/A","(another dwelling above)","N/A","N/A","Electric storage heaters","Average","Very Poor","Manual charge control","Poor","Poor","Low energy lighting in 50% of fixed outlets","Good","Good","electricity (not community)",0,"unheated corridor",7,,"","N","natural","Merton","Mitcham and Morden","England and Wales: 1983-1990","2016-01-27 13:01:33","owner-occupied",,,"",,,"","","","","","","","",,,,,,"","",""
"tbc",138008451,0,347959,683015,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,1,0,2,0,0,1,2,3,4,"1n","Improbable","Improbable",0,1,"S",,1,0,"",1234893246,"D","C",66,80,"House","Detached","2015-05-12","","00QMME","","2015-05-13","marketed sale",58,74,234,146,8.7,41,3.2,531,294,4356,3621,681,243,211,"Single","","","",,"2107",100,"double glazing installed before 2002","1",0,7,7,19,0,"From main system, no cylinder thermostat ","Average ","Average ","Suspended, limited insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Timber frame, as built, insulated (assumed) ","Good ","Good ","Room heaters, mains gas ","N/A ","N/A ","Pitched, 100 mm loft insulation | Roof room(s), insulated ","Average | Good ","Average | Good ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, TRVs and bypass ","Average ","Average ","Low energy lighting in 19% of fixed outlets ","Poor ","Poor ","mains gas (not community)",0,"",,2.7,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ","N","natural","East Lothian","North Berwick Coastal","1992-1998","2015-05-13","owner-occupied",26,5,"RdSAP, existing dwelling",5568,1410,"D","C","Description: Low energy lighting for all fixed outlets; Indicative Cost: ??105; Typical Saving: 63; Energy Rating after improvement: C 70; Environmental Rating after improvement: D 62; Green Deal Eligible: N | Description: Solar photovoltaic panels, 2.5 kWp; Indicative Cost: ??5,000 - ??8,000; Typical Saving: 260; Energy Rating after improvement: C 80; Environmental Rating after improvement: C 74; Green Deal Eligible: Y | Description: Replace boiler with new condensing boiler; Indicative Cost: ??2,200 - ??3,000; Typical Saving: 256; Energy Rating after improvement: C 74; Environmental Rating after improvement: D 68; Green Deal Eligible: Y | Description: Solar water heating; Indicative Cost: ??4,000 - ??6,000; Typical Saving: 51; Energy Rating after improvement: C 75; Environmental Rating after improvement: C 70; Green Deal Eligible: Y | Description: Floor insulation (suspended floor); Indicative Cost: ??800 - ??1,200; Typical Saving: 101; Energy Rating after improvement: D 68; Environmental Rating after improvement: D 61; Green Deal Eligible: Y | ","","","","Description: Micro CHP |  ","",22984,3827,-812,0,0,"","S01001660 (IZ Twenty)","boiler with radiators or underfloor heating"
"tbc",100050536226,0,460218.81,450765.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,2,0,0,3,0,1,0,0,2,4,4,4,"2n","Improbable","Improbable",0,2,"E",,2,0,"544385139962018061115234540098258",5464310868,"D","B",55,82,"House","Mid-Terrace","2018-06-11","E06000014","E14001061","","2018-06-11","marketed sale",45,78,331,125,6.9,58,2.7,73,73,1249,654,95,64,119,"Single","Y","NODATA!","",,"2106",85,"double glazing installed during or after 2002","Normal",1,5,5,100,0,"From main system","Good","Good","Suspended, no insulation (assumed)","NO DATA!","N/A","Mostly double glazing","Good","Good","Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","Room heaters, mains gas","N/A","N/A","Pitched, no insulation (assumed)","Very Poor","Very Poor","Boiler and radiators, mains gas","Good","Good","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in all fixed outlets","Very Good","Very Good","mains gas (not community)",0,"NO DATA!",,,"","N","natural","York","York Central","England and Wales: 1900-1929","2018-06-11 15:23:45","owner-occupied",,,"",,,"","","","","","","","",,,,,,"","",""
"tbc",100070983095,0,415123,278815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,5,8,8,8,"1n","Improbable","Improbable",0,2,"E",,2,0,"443575902242020051512421574309758",2233603768,"D","C",63,79,"House","Detached","2020-05-15","E08000029","E14000931","","2020-05-15","marketed sale",58,77,238,131,5.4,42,3,87,87,1045,801,122,75,128,"Single","Y","NODATA!","",,"2107",90,"double glazing, unknown install date","Normal",3,6,6,100,0,"From main system","Good","Good","Suspended, no insulation (assumed)","NO DATA!","N/A","Mostly double glazing","Average","Average","Cavity wall, filled cavity","Average","Average","Room heaters, electric","N/A","N/A","Pitched, 75 mm loft insulation","Average","Average","Boiler and radiators, mains gas","Good","Good","Programmer, TRVs and bypass","Average","Average","Low energy lighting in all fixed outlets","Very Good","Very Good","mains gas (not community)",0,"NO DATA!",,,"","N","natural","Solihull","Solihull","England and Wales: 1967-1975","2020-05-15 12:42:15","owner-occupied",,,"",,,"","","","","","","","",,,,,,"","",""
"tbc",100100434592,0,268039,375219,12,5,0,0,0,0,0,12,5,18,18,0,0,0,0,18,18,18,18,0,0,0,0,18,18,18,18,0,0,0,0,18,18,100,0,-1,0,0,0,0,1,0,0,1,1,1,1,1,3,"1n","Improbable","Improbable",0,1,"E",,1,1,"656459979922011071909174528988699",9206758868,"D","C",65,72,"House","Semi-Detached","2011-07-18","W06000003","W07000058","","2011-07-19","marketed sale",63,72,226,173,3.4,44,2.6,42,42,570,450,102,84,78.1,"Single","Y","NODATA!","",,"2107",100,"double glazing installed before 2002","Normal",0,4,4,100,0,"From main system","Good","Good","Suspended, no insulation (assumed)","N/A","N/A","Fully double glazed","Average","Average","Cavity wall, filled cavity","Good","Good","None","N/A","N/A","Pitched, 75 mm loft insulation","Average","Average","Boiler and radiators, mains gas","Good","Good","Programmer, TRVs and bypass","Average","Average","Low energy lighting in all fixed outlets","Very Good","Very Good","mains gas (not community)",0,"NO DATA!",,2.4,"0","","natural","Conwy","Aberconwy","England and Wales: 1967-1975","2011-07-19 09:17:45","owner-occupied",9,9,"",,,"","","","","","","","",,,,,,"","",""
"tbc",100120550078,0,390365,232941,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,9,0,0,0,1,8,9,9,9,"2n","Improbable","Improbable",0,2,"N",,,,"",,"","",,,"","","","","","","","",,,,,,,,,,,,,,,"","","","",,"",,"","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"",,,"","","","","","","","",,,"",,,"","","","","","","","",,,,,,"","",""
